GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.controllers,HomeController,4,3,0,0,2,1,2,1,2,1
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.controllers,CurveController,44,35,1,1,11,8,5,4,4,4
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.controllers,UserController,88,81,2,2,13,18,6,6,4,6
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.controllers,TradeController,12,3,0,0,6,1,6,1,6,1
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.controllers,RuleNameController,12,3,0,0,6,1,6,1,6,1
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.controllers,BidListController,12,3,0,0,6,1,6,1,6,1
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.controllers,RatingController,12,3,0,0,6,1,6,1,6,1
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.services,MyAppUserDetailsService,28,3,0,0,5,1,1,1,1,1
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.config,MessageConfig,0,25,0,0,0,8,0,3,0,3
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.config,SecurityConfig,0,81,0,0,0,15,0,3,0,3
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.domain,BidList,166,3,0,0,71,2,45,1,45,1
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.domain,Trade,156,3,0,0,67,2,43,1,43,1
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.domain,User,0,38,0,0,0,16,0,11,0,11
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.domain,Rating,50,3,0,0,21,2,11,1,11,1
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.domain,CurvePoint,6,51,0,0,2,23,2,12,2,12
spring-boot-skeleton : Tests unitaires,com.nnk.springboot.domain,RuleName,67,3,0,0,28,2,14,1,14,1
spring-boot-skeleton : Tests unitaires,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
